Protect Colorado	60971	121943	1552	5875
World Mercury Project	42931	107328	342	1443
Hotspot Shield	32667	65333	42	125
NumbersUSA	52187	130469	590	1498
No Prop 6	56781	141953	1051	4185
Abigail Spanberger	19297	48243	99	471
United States Constitution	17888	35775	152	465
Claire McCaskill	17520	43799	531	1973
Bob Hugin	16800	41999	352	1448
No on Measure G	16715	41788	437	1484
SEIU Florida	34394	85986	254	1026
Carpet and Rug Institute (CRI)	12143	24286	60	121
Better Colorado Now	11262	22525	199	535
John Legere	13111	26221	75	299
Per Aspera Policy	10653	21305	239	725
Coalition to Protect Patient Safety	9474	18949	156	503
Demand More For Maine	9232	18464	50	183
More Freedom Foundation	8050	16099	0	41
ACCE Action	7920	15841	40	159
Americans for Prosperity - Louisiana	7823	15647	27	137
Conor Lamb	7221	14441	119	259
Robin Delivers for You	6947	13894	154	297
Senator Chris McDaniel	6425	12851	31	108
Yes on 8	6231	12463	116	299
Todd Kaminsky	6188	12376	78	192
Peter Tedeschi for Congress	5984	11969	62	232
Patients For Affordable Drugs Action	9251	18503	139	557
Tom Suozzi	5600	11200	60	173
Scott Walker	14714	29427	196	666
Rick Scott Is Not For Florida	7345	20629	96	423
Geoff Duncan	5346	10693	33	115
Kevin Yoder	5060	10120	76	254
Mac Schneider	5018	10035	83	237
Rita Lucido for Texas State Senate District 17	5004	10008	15	63
Northwest Abortion Access Fund	5000	9999	29	256
Arizonans 4 Affordable Electricity	5000	9999	56	191
Irvine Community News & Views	4404	8808	27	79
Dave Yost	4323	8647	70	225
Beto O'Rourke	4197	8394	74	229
Abby Finkenauer for Congress	4102	8204	46	132
Re-elect Laurene Weste 2018	4047	8094	7	46
Denham Says, Denham Does	3885	7770	78	279
Tennessee Business Daily	3833	7665	63	161
Get the Facts on Anna Kaplan	3430	6859	48	172
Second Chances Florida	3367	6733	30	112
Eastern Bank	3221	6442	21	61
Dean Young for Alabama	3162	6323	13	55
Keith Ellison for Attorney General	2915	5830	33	159
Betsy Rader for Congress	2746	5493	21	89
Kialo	2480	12401	34	250
ReBuild USA	5456	12114	202	744
America with Eric Bolling	2328	11640	35	321
City of Rochester, NY - Mayor's Office	2295	11474	7	76
Ben Shapiro	2198	10987	5	62
PolicyEd	2158	10791	11	102
Heidi Heitkamp	2066	4131	51	169
The Law Offices of Vaughan de Kirby, A.P.C.	2051	10256	12	106
Between the Scenes	2048	10242	15	137
Lebowski Lovers	1938	9688	17	244
Bob Casey	5475	12731	41	188
Brian 'BAM' McClendon	1883	9415	35	259
Scamazon	1850	3700	2	63
Richard Cordray	1839	3679	32	111
Home Professionals	1826	9129	17	379
NO on 3	3612	18061	55	452
Barrett Davie for Illinois Senate	1594	7969	24	218
Aparna Madireddi for San Ramon City Council 2018	1558	7789	14	91
Doug LaMalfa for US Representative	1548	7740	11	83
American Opportunity PAC	1533	7664	21	123
Proud American Hunter	1524	7622	1	26
Leonard Lance Wrong for New Jersey	1462	7309	33	260
Aaron Gladd for State Senate	1442	7208	23	95
The Deplorable Deck	1438	7192	14	95
Weak Ends at Bernies	1432	7158	13	135
Every State For Israel	1430	2859	9	30
Community Action Fund of PPOSBC	1419	7093	18	123
Judicial Watch	1340	6699	14	139
Imprimis, a Publication of Hillsdale College	1330	6649	4	48
Capital Research Center	1307	2615	2	23
Tyler R. Edmonds	1302	6509	5	55
Steve Berch for Idaho	1260	6298	0	56
Stand for Children - Arizona	1235	2471	15	47
Blake Rubin For District Attorney	1198	5990	4	70
GUNVOTE	1188	5942	17	124
Dan Patrick	1182	5908	15	115
Safe Clean Water L.A.	1177	5886	10	84
Harry Arora	1176	5880	13	87
Let's Go Colorado	1166	2332	49	114
Union Patriots	1165	5824	0	131
Dr. Donna Campbell	1135	5676	8	63
Americans for Prosperity - Colorado	1133	5665	9	76
Save Your Home Now	1132	5662	27	84
Diane Mitsch Bush for Colorado CD3	1131	5656	13	132
Danny Tarkanian	1128	5638	14	115
Science for Humans and Freedom Institute	1120	5601	0	254
Firearms Policy Coalition	1110	2221	7	20
Adam Gray for Assembly	1105	5523	10	88
Giselle Hale for RWC Council	1104	5517	13	135
WV Future PAC	1099	5494	17	106
Yes for MPLS Kids	1099	5493	8	99
