PragerU	19253	47315	127	548
NowThis Morning	487	2435	0	4
Jon Tester	100	499	1	13
CHICAS by Alejandra	73	364	0	7
Angie Bodine For State Rep - Angie4IL	61	123	0	2
Cory Creel	41	203	0	6
Alliance for Climate Education	1604	8018	16	139
Dan DelMonte for Delegate 1C	33	163	0	5
Elect Jarrod Lowery NC House 47	9	44	0	0
Michael For Mayor of Hilton Head Island	8	42	0	0
Deb Patterson	7	33	0	0
AARP Oregon	6	13	0	0
Kevin Gaither for Congress	4	18	0	0
PHENOM (Public Higher Education Network of Massachusetts)	3	17	0	0
Matt Fleming for County Commission - District 4	2	10	0	0
Lee O. Savage For Mayor of Shreveport	2	8	0	0
Tom Basile for State Senate	1	5	0	0
Frances Akridge for HSV	0	500	0	10
Players Coalition	0	458	0	5
The Joe Cozzo Show	0	400	0	9
West Wall Outfitters	0	306	0	5
Fight the New Drug	0	282	0	1
Alliance for Michigan Power	0	66	0	1
Casey Kulla for Yamhill County Commissioner	0	64	0	1
Seth Cagin	0	40	0	0
Maresh For House	0	24	0	0
Hilary Dubay for L'anse Creuse School Board	0	22	0	2
LeDante Walker Sr. for City Director District 2	0	21	0	0
Animal Matters	0	16	0	0
George Marin for Mayor	0	15	0	0
Rutland County Democrats	0	11	0	0
McHenry YES	0	10	0	0
Steve Dutner For IL Secretary of State	0	8	0	0
Michelle Figueredo-Wilson for City Council	0	8	0	0
9-12 Project of the Lehigh Valley	0	4	0	0
ThoughtFull	0	2	0	0
Senator Jim Tedisco	0	2	0	0
Jeff Johnson	87795	180795	433	1787
Bob Casey	98603	244712	938	3809
One Pennsylvania	37383	74765	234	975
Medals Of America	40241	92056	285	878
NumbersUSA	62763	156908	585	2562
Abby Finkenauer for Congress	31791	77426	359	1249
Stanton for Arizona	25000	62500	178	751
The Nib	21971	43942	84	416
The Fighting Forces	21414	42827	59	578
I Love You, America	53383	116190	892	3530
University of California	24954	49908	124	352
Yes on 8	37686	83952	641	1847
Be Ready to Vote	16655	37524	54	242
Mississippi Victory Fund	14323	35807	95	462
Keith Ellison for Attorney General	17009	34018	176	884
Ed Perlmutter	17883	37759	161	555
Brian Kemp	13608	37481	155	686
Dr. Mark Green	9434	18869	64	259
Newt Gingrich	9010	18020	21	101
Federal Voting Assistance Program - FVAP	13352	66758	75	571
Ben & Jerry's	42698	85396	472	1629
Elise Stefanik	7056	14112	66	286
Leslie Cockburn for Congress	19690	39379	156	704
ACCE Action	14797	29594	97	308
National Association for Gun Rights	6423	12845	29	96
With Honor	6145	12291	88	310
Center for Biological Diversity	5812	11623	72	243
Dean Heller	5460	10920	109	371
Kevin Yoder	10396	20792	158	500
RSCC	11477	22954	143	569
Indiana Republican Party	6184	16028	179	668
Progress Texas	4904	9807	57	117
No on IM-25	4668	9335	43	128
Military Network	4641	9281	132	290
Susan Wild for Congress	17711	35420	203	770
Dave Joyce	9829	19657	105	338
YES on 127: Clean Energy for a Healthy Arizona	13494	33734	249	1060
Senator Ron Grooms	3882	7764	44	212
Mexico Joe	21044	42088	389	1325
Support Petaluma Safeway Gas	3554	17770	37	246
Michigan Wildlife Council	3168	15839	17	124
The Harvard Crimson	3154	15769	31	157
Downtown for Democracy	21137	50454	143	886
Stacey Abrams	3880	11662	51	279
Healthy Hospital, Healthy Community.	2376	4751	25	107
Waterkeeper Alliance	2305	4609	0	43
Musa-Obregon & Associates NYC Criminal & Immigration Lawyers	2298	4596	11	38
Georgia Shift	6831	27499	49	349
Wisconsin Right to Life	2011	10056	16	90
Safe Patient Limits Save Lives	5203	10407	45	186
Make the Road Pennsylvania	1937	3873	13	42
Dr. Nicole Carr for Pinellas County School Board	1903	9516	6	114
Choose Me Not 3	5330	20025	94	634
Jetties Bracelets	1892	9459	2	127
Dustin Daniels for Mayor	1801	3601	6	34
It's Time D.C.	1798	3596	46	143
Amy Scott Wasyluka for State Senate	1785	8923	0	46
Cynthia Flores for Texas State Rep, District 52	1760	8800	17	144
Color Of Change	1734	8672	13	92
Donnie Harrison for Wake County Sheriff	1725	3450	22	93
Community Action Fund of PPOSBC	3126	15625	31	267
ANCA	1701	3402	10	37
United for Iran	1650	3299	0	56
